Scope	ID	Key	Value
pept	gene:11987	PKO-c	unaf
pept	gene:11987	PKO-r	1
pept	gene:11988	PKO-c	unaf
pept	gene:11988	PKO-r	1
pept	gene:11989	PKO-c	unaf
pept	gene:11989	PKO-r	1
pept	gene:11992	PKO-c	unaf
pept	gene:11992	PKO-r	1
pept	gene:12035	PKO-c	unaf
pept	gene:12035	PKO-r	1
pept	gene:12036	PKO-c	unaf
pept	gene:12036	PKO-r	1
pept	gene:12039	PKO-c	unaf
pept	gene:12039	PKO-r	1
pept	gene:12040	PKO-c	unaf
pept	gene:12040	PKO-r	1
pept	gene:12091	PKO-c	unaf
pept	gene:12091	PKO-r	1
pept	gene:12116	PKO-c	unaf
pept	gene:12116	PKO-r	1
pept	gene:12183	PKO-c	unaf
pept	gene:12183	PKO-r	1
pept	gene:12346	PKO-c	unaf
pept	gene:12346	PKO-r	1
pept	gene:12349	PKO-c	unaf
pept	gene:12349	PKO-r	1
pept	gene:12350	PKO-c	unaf
pept	gene:12350	PKO-r	1
pept	gene:12351	PKO-c	unaf
pept	gene:12351	PKO-r	1
pept	gene:12352	PKO-c	unaf
pept	gene:12352	PKO-r	1
pept	gene:12354	PKO-c	unaf
pept	gene:12354	PKO-r	1
pept	gene:12359	PKO-c	unaf
pept	gene:12359	PKO-r	1
pept	gene:12411	PKO-c	unaf
pept	gene:12411	PKO-r	1
pept	gene:12583	PKO-c	unaf
pept	gene:12583	PKO-r	1
pept	gene:12647	PKO-c	unaf
pept	gene:12647	PKO-r	1
pept	gene:12651	PKO-c	unaf
pept	gene:12651	PKO-r	1
pept	gene:12660	PKO-c	unaf
pept	gene:12660	PKO-r	1
pept	gene:12709	PKO-c	unaf
pept	gene:12709	PKO-r	1
pept	gene:12715	PKO-c	unaf
pept	gene:12715	PKO-r	1
pept	gene:12892	PKO-c	unaf
pept	gene:12892	PKO-r	1
pept	gene:12894	PKO-c	unaf
pept	gene:12894	PKO-r	1
pept	gene:12895	PKO-c	unaf
pept	gene:12895	PKO-r	1
pept	gene:12896	PKO-c	unaf
pept	gene:12896	PKO-r	1
pept	gene:12908	PKO-c	unaf
pept	gene:12908	PKO-r	1
pept	gene:12934	PKO-c	unaf
pept	gene:12934	PKO-r	1
pept	gene:12974	PKO-c	unaf
pept	gene:12974	PKO-r	1
pept	gene:13026	PKO-c	unaf
pept	gene:13026	PKO-r	1
pept	gene:13057	PKO-c	unaf
pept	gene:13057	PKO-r	1
pept	gene:13058	PKO-c	unaf
pept	gene:13058	PKO-r	1
pept	gene:13106	PKO-c	unaf
pept	gene:13106	PKO-r	1
pept	gene:13121	PKO-c	impa
pept	gene:13121	PKO-r	0.641208325
pept	gene:13139	PKO-c	unaf
pept	gene:13139	PKO-r	1
pept	gene:13142	PKO-c	unaf
pept	gene:13142	PKO-r	1
pept	gene:13162	PKO-c	unaf
pept	gene:13162	PKO-r	1
pept	gene:13166	PKO-c	unaf
pept	gene:13166	PKO-r	1
pept	gene:13171	PKO-c	unaf
pept	gene:13171	PKO-r	1
pept	gene:13178	PKO-c	unaf
pept	gene:13178	PKO-r	1
pept	gene:13180	PKO-c	unaf
pept	gene:13180	PKO-r	1
pept	gene:13190	PKO-c	unaf
pept	gene:13190	PKO-r	1
pept	gene:13195	PKO-c	unaf
pept	gene:13195	PKO-r	1
pept	gene:13244	PKO-c	impa
pept	gene:13244	PKO-r	0.641208325
pept	gene:13340	PKO-c	unaf
pept	gene:13340	PKO-r	1
