Source	Sid	Equa
EX_cl_LPAREN_e_RPAREN_	R458B2C0D	MNXR98349
CHOLD2m	R466087E5	MNXR96698
HACD1m	R46946F7A	MNXR100541
CATm	R4696BEFD	MNXR96455
THRGLNNaEx	R469779C3	MNXR104839
VITD3t	R46BC5416	MNXR105203
RTOT6	R46BCA335	MNXR104097
GLUt7l	R46C4B0E	MNXR100301
EX_h_LPAREN_e_RPAREN_	R47177312	MNXR98643
6DHFtm	R47346D0F	MNXR95096
CLPNDCOAtx	R473E0C06	MNXR96770
UGLT	R4759C5B1	MNXR105090
EX_crmp_hs_LPAREN_e_RPAREN_	R47748913	MNXR98369
COt	R4778AC19	MNXR96863
UPPDC1	R4799A1CC	MNXR105140
AMPTASECGe	R47AE35D3	MNXR95828
NDPK4	R47B0699A	MNXR101937
AATAi	R47B7A297	MNXR95160
PYAM5POr	R47BD1A4	MNXR103355
LCYSTAT	R47BDA39A	MNXR95161
NDPK8m	R47C93710	MNXR101940
ALATHRNaEx	R47FCC93	MNXR95700
UMPKn	R481596C	MNXR105118
G6PPer	R4815C604	MNXR99912
NDPK6n	R4816BA26	MNXR101938
PPD2CSPp	R48C25BE6	MNXR95853
BIOMASS_EXT_1	R48E37591	MNXR94667
EX_urate_LPAREN_e_RPAREN_	R4903FF23	MNXR99024
ICDHxm	R494CEE90	MNXR100782
RADH4	R49923094	MNXR103415
CTPS2	R499438FB	MNXR96945
VACCCPT1	R499C8118	MNXR105178
MCCCrm	R49A2A18C	MNXR101411
TYRt	R49B7FB2C	MNXR105002
GNMT	R49CFB470	MNXR100391
3MOBt2im	R4A03420E	MNXR94923
IZPN	R4A2BD974	MNXR100896
UMPK7n	R4A3C1D85	MNXR105124
C3STDH1Pr	R4A769D68	MNXR95038
GLBRAN	R4A7FFFF0	MNXR100154
EX_tyL_LPAREN_e_RPAREN_	R4A881FA5	MNXR99005
GLCter	R4AEF8711	MNXR100188
EX_so4_LPAREN_e_RPAREN_	R4B5145FC	MNXR98935
LYSt4	R4B595A67	MNXR101268
EX_acald_LPAREN_e_RPAREN_	R4B7CFCA	MNXR98198
DURIPP	R4B9D1A3	MNXR97818
DADA	R4BA51054	MNXR97076
DESAT18_8	R4BC21D69	MNXR97248
HKYNH	R4C691D69	MNXR100656
GLYBt4_LPAREN_2_RPAREN_r	R4C7087C8	MNXR100316
EX_adn_LPAREN_e_RPAREN_	R4C83430	MNXR98230
ATPasel	R4C8D11ED	MNXR96136
ACGAM6PSi	R4CA0D1A7	MNXR95248
ARTFR11	R4CDBAA76	MNXR95969
XAO2x	R4D0A4F40	MNXR105229
EX_din_LPAREN_e_RPAREN_	R4D0C76F7	MNXR98418
MACACI	R4D1DE9FC	MNXR101325
EX_lneldc_LPAREN_e_RPAREN_	R4D80736B	MNXR98718
CLFORtex	R4D8269E	MNXR96761
10FTHFtm	R4DA63DE	MNXR94672
ARTFR32	R4DA78631	MNXR96001
NDPK8	R4DB57A1	MNXR101940
SPHK21c	R4DD6B78C	MNXR104485
COAtp	R4DDFC1CE	MNXR96815
DM_datp_LPAREN_m_RPAREN_	R4E08DAE6	MNXR97570
DAGKn_hs	R4E6319D2	MNXR97113
SMS	R4E663BB8	MNXR104453
PUNP5	R4EA4F2F7	MNXR103347
MNXRMNXC17	R4EBFC9FA	MNXR01
MEOHtly	R4F0F41D4	MNXR101464
"CYSGLYex;CYSGLYexR"	R4F4ED5E8	MNXR97001
XANDp	R4FC1EDF1	MNXR105225
DNDPt60m	R4FC6F2EF	MNXR97674
CO2ter	R4FEAA7B7	MNXR96810
PPAm	R4FED40D2	MNXR100808
NAt	R4FF0286F	MNXR101804
CYTK5	R4FF073A	MNXR97054
G6PDA	R501710B0	
HMGCOAtx	R50A570A6	MNXR100661
GTHO	R50B943CA	MNXR100098
ITPtn	R50BE1934	MNXR100893
C180CPT1	R50E97579	MNXR96393
HMGCOARx	R5143D980	MNXR100659
DHFR	R5148B89F	MNXR97401
SRTNt6_LPAREN_2_RPAREN_r	R517AF09B	MNXR104537
SERDGLYexR	R51940E9A	MNXR104337
10FTHF5GLUtm	R519E6F57	MNXR94668
EX_lac_D_LPAREN_e_RPAREN_	R51A316AD	MNXR98694
EX_uri_LPAREN_e_RPAREN_	R51C8EC34	MNXR99026
ME1m	R51DFD2E9	MNXR101446
GLYOX	R52301C37	MNXR100353
34DHXMANDACOX_LPAREN_NADP_RPAREN_	R523C83CB	MNXR94841
MTHFD2	R52460234	MNXR101750
DCSPTN1CPT2	R525FD68F	MNXR97196
AICART	R52A90450	MNXR95639
41R1H2MAE12BOOX	R5318A786	MNXR94987
G6Pter	R531BE540	MNXR99915
GCCbim	R53746D8A	MNXR100068
ALDD2y	R54100FB8	MNXR95750
MTHFD	R543D9FD7	MNXR101749
ASAH1	R547DB7D4	MNXR96040
P5CDm	R547F290B	MNXR102301
ARTFR12	R54E403B4	MNXR95971
AKGMALtm	R54EB5543	MNXR95659
PUNP3	R552B9837	MNXR103345
PItx	R553C3E06	MNXR102871
MNXRMNXC2	R5547336	MNXR01
EX_ala_L_LPAREN_e_RPAREN_	R555722AC	MNXR98256
ARTFR42	R55720195	MNXR96009
KHK2	R558CACF5	MNXR100937
NDPK7m	R55B86D7D	MNXR101939
DHFtl	R55FF08FB	MNXR97404
SPODMn	R563EBACD	MNXR104498
RIBt	R565DD00A	MNXR104036
EX_34dhphe_LPAREN_e_RPAREN_	R56885911	MNXR98028
ALCD1	R56B8EA27	MNXR95708
SO4OXAtex2	R56C684E8	MNXR104465
PPItr	R56D801C	MNXR103112
ILETAm	R56E86DC5	MNXR96228
EX_dcyt_LPAREN_e_RPAREN_	R570E51C6	MNXR98402
HXPRT	R5714A26	MNXR100752
EX_o2s_LPAREN_e_RPAREN_	R572003BB	MNXR98800
CO2tm	R57331E67	MNXR96810
MALtm	R5747DC89	MNXR101374
ASPTA	R57BBA729	MNXR96079
HDCEAtr	R58443A31	MNXR99102
UMPK4n	R58554689	MNXR105121
FATP4t	R587A6B82	MNXR99453
RTOTAL3CRNCPT2	R58B8E022	MNXR104103
IRG1m	R59098E2A	MNXR107402
NNMT	R591EAD1E	MNXR101981
AASAD3m	R5935353F	MNXR95158
EX_pi_LPAREN_e_RPAREN_	R596FDB0E	MNXR98854
DGAT	R59AA16A3	MNXR97261
EX_ocdcea_LPAREN_e_RPAREN_	R59B666BE	MNXR98808
DKMPPD	R59B9384D	MNXR97497
ALAGLNexR	R5A1007B6	MNXR95689
NADPHtru	R5A2A1E84	MNXR101894
THRSERNaEx	R5A492B48	MNXR104847
NH4tp	R5AADB9C6	MNXR101950
4ABUTtm	R5AAE65CE	MNXR94993
S6TASE6ly	R5AF37698	MNXR104231
PROtm	R5B6DFE6E	MNXR103213
CYOOm3	R5B725FF7	MNXR96974
EX_gly_LPAREN_e_RPAREN_	R5B8D4B5D	MNXR98591
"DNDPt15m;DNDPt33m"	R5BCC40F3	MNXR97633
ARTPLM1m	R5C20566D	MNXR96035
H2CO3D	R5C2F31DB	MNXR100482
L_LACt2r	R5C4DB47C	MNXR101277
INOSTO	R5C5714D1	MNXR100839
HOXG	R5C5BEC3C	MNXR100681
ACGAMPM	R5C5C51F5	MNXR95250
ESTRONESt	R5C986ECB	MNXR97961
MDRPD	R5CA060AC	MNXR101445
ADAe	R5CA54B6F	MNXR95432
SERGLNNaEx	R5CF4536D	MNXR104340
MTHFR3	R5D0422A3	MNXR101752
CITL	R5D0D22AA	MNXR96731
DRBK	R5D6827A6	MNXR97781
SPHINGStr	R5D705FEE	MNXR104484
FAS80COA_L	R5D8D6A13	MNXR99415
RTOT4	R5DCF2EA3	MNXR104093
NACHEX27ly	R5DD69899	MNXR101827
O2tn	R5DE9B0	MNXR102090
ECOAH12m	R5E0F7FF0	MNXR97885
HPYRRy	R5E547493	MNXR100336
OXAHCOtex	R5E5D76A8	MNXR102235
INSt4	R5E8BCC7D	MNXR100851
LYSOXp	R5E9A457E	MNXR101262
FALDH	R5EB82F4D	MNXR99236
CLHCOtex	R5F23D363	MNXR96764
CYSO	R5F71E55D	MNXR96993
1PPDCRp	R5F748E96	MNXR94712
XAOx	R5FCF08D6	MNXR105228
ASCBt	R5FDBE1AF	MNXR96048
FACOAL180i	R6037EAE3	MNXR99164
GLYt4	R605570A6	MNXR100351
TRIOK	R605C312C	MNXR104940
LNELDCCPT2	R60BCE665	MNXR101101
NADtru	R60E295D4	MNXR101900
NRPPHRVESSEC	R60EABEA9	MNXR102017
CTPtn	R612D30D4	MNXR96946
NADN	R613708BA	MNXR101888
XYLUR	R61518ED0	MNXR105265
DNDPt20m	R61F8AEDB	MNXR97639
DNDPt48m	R6200F107	MNXR97661
DESAT22_2p	R62BE24C6	MNXR97253
ELAIDCPT2	R62FFC74E	MNXR97913
UMPK7	R6355D4CF	MNXR105124
GLUTCOADHm	R6369FAC1	MNXR100293
DRPA	R63816F84	MNXR97787
PHEtec	R638CCF70	MNXR102637
LPCOXp	R6391B0A5	MNXR101132
OIVD1m	R6395715E	MNXR102172
"FACOAL226;FACOAL226i"	R63B23E3D	MNXR99190
HEX1	R63B5848B	MNXR100612
ACTNMO	R63F28BB	MNXR95423
FUMtm	R64E037B7	MNXR99716
Pitm	R65203C65	MNXR102873
10FTHFtl	R652D8117	MNXR94672
CLOHtex2	R6538F7D1	MNXR96768
EX_nh4_LPAREN_e_RPAREN_	R65404FB9	MNXR98786
THRASNNaEx	R6551C581	MNXR104836
ALDD2x	R65796506	MNXR95749
SERGLYexR	R6587D089	MNXR104342
EX_tauLPAREN_e_RPAREN_	R65DA4EC	MNXR98956
BDHm	R661C9983	MNXR96232
SSALxm	R66253FB9	MNXR104540
IMPD	R66288949	MNXR100830
CDS	R66484885	MNXR96563
LNSTLSr	R6648AFC3	MNXR101117
ACONTm	R6653A3C	MNXR95384
ADRNCOAtx	R6664C0BD	MNXR95485
O2St	R666AC08C	MNXR102089
EX_ura_LPAREN_e_RPAREN_	R669A7661	MNXR99023
EX_oxa_LPAREN_e_RPAREN_	R66A20DE6	MNXR98815
GAMt1r	R66D5EC1	MNXR100035
FAS100COA	R66E0A682	MNXR99385
PETHCT	R66EC8477	MNXR102498
G5SADrm	R672BB0E3	MNXR99897
PIK4n	R6730C443	MNXR102825
VACCt	R67964780	MNXR105180
GGNG	R679CB2C2	MNXR100128
DAGK_hs	R67A74B34	MNXR97113
3SALATAi	R67C50CC8	MNXR94980
O2Stm	R67D4D6B1	MNXR102089
34DHXMANDACOX	R67F99B35	MNXR94840
GULN3D	R68123CA0	MNXR100471
ADPRDP	R682E69B5	MNXR95480
DUMPtn	R68A835AC	MNXR97813
NNATn	R68AE9EC3	MNXR101978
LRAT1	R68D68CAE	MNXR101236
GLYt2r	R68EEB334	MNXR100368
FACOAL1812	R68F9A2B2	MNXR99170
DHORD9	R6905A180	MNXR97423
PUNP2	R6928DC17	MNXR103344
ORNt3m	R6932D952	MNXR102225
C181CRNt	R693CE07A	MNXR96397
TTDCPT2	R694CB889	MNXR104972
SO4HCOtex	R695A6529	MNXR104463
PI45P3K	R6964FECC	MNXR102714
DIDPtn	R6990648A	MNXR97458
GLCt1r	R69C894A4	MNXR100188
FAOXC16080x	R69CB92E5	MNXR99298
DASCBR	R6AE08B73	MNXR97152
NICRNTtn	R6B296C1F	MNXR101961
EX_trp_L_LPAREN_e_RPAREN_	R6B3002E7	MNXR98991
FAS120COA	R6B30A47A	MNXR99389
FATP8t	R6BB51DCA	MNXR99457
ADNt4	R6BB543C3	MNXR95462
CHOLtn	R6BE54511	MNXR96693
FAOXC16180m	R6BFA536E	MNXR99302
EX_lys_L_LPAREN_e_RPAREN_	R6BFC3A2D	MNXR98724
PPPG9tm	R6CFCC18D	MNXR103127
2AMADPTm	R6D3E49F3	MNXR94780
GCC2bim	R6D6D44EA	MNXR100064
SPHS1Ptr	R6D81700F	MNXR104490
TMDPPK	R6DC02F2F	MNXR104888
THP2Ctp	R6DE8A5E7	MNXR104832
NDPK4m	R6E0EFE2B	MNXR101937
FUMTSULtm	R6E167857	MNXR99710
PAFS	R6E38C321	MNXR102325
SUCOAS1m	R6E5919B	MNXR104637
GLUNm	R6E80A0F4	MNXR100030
3MOPt2im	R6E825779	MNXR94927
ACACtx	R6EC058D5	MNXR95208
ACCOAtn	R6F30F2D	MNXR95223
EX_duri_LPAREN_e_RPAREN_	R6F462122	MNXR98435
FACOAL1822	R6F92789E	MNXR99176
ADPtx	R6FF4B556	MNXR95484
CLFORtex2	R70003CCD	MNXR96762
MAOX	R7022089	MNXR101406
DATPtn	R7034E19E	MNXR97176
